geoid,HeathDeath_Percent,leadPoisonR,ndvi,treesN10,treeCrwDn,socvlnIndx,hrdshpIndx,urbanFlood,surfcTemp,trafficVol,nnetPM25,chAsthmaED,chAsthma17,pop18,whiteP18,blackP18,amIndP18,asianP18,hispP18,other18,chldren18,senior18,zipCode,comArea,comAreaNm,plantDivrs,plantTotl,plantSpec,redLined,mdRent18,mdHome18,frgnBrn18,hhldSize18,fmHhld18,college18,popDens18,ovrcwdHs18,costBurd18,hsngSuscp,hsngVuln,hsngChng,dsplcPresr,chwAirTemp,chwHeatAve,chwHeatMax,eclipsPM25,lungCRt17,physRt17,adAsthma17,cancerRt17,hyptRt17
17031240700,3.68,0.694073679,0.254269,570,18.6,50.3,20.7,9.6,71,4.6,10.6,190.75,98.5,,81,8.1,,3.6,51.7,7.2,21.74657534,5.650684932,60647,24,WEST TOWN,0.833,6,6,D,1150,368000,12.89954338,2.48,63.67713004,53.09150866,27356.41024,1.943199,47.38416,High-cost,0,Not_Rising,0,84.14971421,88.53802222,98.5427474,9.834310532,52.1764477,13.1,9,502.2827855,23.1
17031240800,3.68,0.694073679,0.278144,637,21.1,79.1,23.4,9.5,75.3,4.9,10.5,190.75,98.5,,71.5,5.9,,1.8,53.7,20.8,18.4,4.866666667,60647,24,WEST TOWN,0.88,15,11,D,1019,428000,10.6,2.84,50.24232633,41.73297966,23002.09595,2.584814,43.78029,High-cost,1,Rising,"Vulnerable, Prices Rising",83.94997517,88.38711042,98.30682545,9.733778,52.1764477,13.1,9,502.2827855,23.1
17031231100,1.43,2.532327586,0.299116,513,20.6,95.1,39.8,9.5,84.6,4.5,10.5,382.5,202.6,,18.3,56,,0,40.2,25.7,28.40557276,10.44891641,60651,23,HUMBOLDT PARK,0,1,1,C,840,166200,17.10526316,4.79,61.47540984,15.30343008,18971.81148,7.650273,54.91803,Moderate-cost,1,Rising,"Vulnerable, Prices Rising",84.04170945,88.64347304,99.25051541,,49.74493888,39.8,17.1,467.9023783,23.2
17031221400,3.68,0.524590164,0.22551,1195,16.8,36.3,15.4,9.4,75,4.3,10.6,190.75,98.5,,79.4,4.3,,3.3,43.5,12.5,20.15862525,3.23859881,60647,22,LOGAN SQUARE,0.917,12,12,D,1459,361200,12.42564442,2.15,42.0935412,60.62296606,22074.93899,2.895323,30.80921,High-cost,0,Not_Rising,0,84.35609929,88.73474639,99.63188309,10.09724331,39.04862757,18.7,10.5,402.5999424,26.5
17031240900,1.43,0.694073679,0.483306,3757,30,66.3,27.2,9.3,78.9,5.2,10.4,130.5,128.7,,50.9,10.1,,8.5,45.5,30.5,13.46982759,15.40948276,"60622,60651",24,WEST TOWN,0.98,265,115,,1076,355700,20.58189655,2.07,39.51120163,36.69354839,2508.731956,1.425662,51.93483,Moderate-cost,1,Not_Rising,"Vulnerable, Prices Not Rising",83.06539234,87.29695692,97.21252955,9.572278295,52.1764477,13.1,9,502.2827855,23.1
17031242800,1.43,0.694073679,0.218123,997,12,20,10.3,9.2,69.4,4.1,10.7,187.75,226.3,,94.8,0.9,,0.6,20.6,3.4,20.81712062,9.468223087,"60612,60622",24,WEST TOWN,0.934,21,17,,1500,446900,12.77561608,2.79,56.63265306,55.85585586,9084.376817,0,29.08163,High-cost,0,Not_Rising,0,84.69263831,89.85474317,101.5655558,9.810512543,52.1764477,13.1,9,502.2827855,23.1
17031242500,4.5,0.694073679,0.208441,875,14.8,49,24.6,9.3,69.7,4.3,10.5,130.5,128.7,,73.3,7.6,,3.5,22.5,15.6,16.57525899,6.855575868,60622,24,WEST TOWN,0.927,27,20,C,1281,404500,24.86288848,2.35,36.32786885,63.41880342,27436.93694,1.57377,39.93443,High-cost,0,Rising,0,84.28720952,88.62336588,99.04070894,9.829061985,52.1764477,13.1,9,502.2827855,23.1
17031242600,4.5,0.694073679,0.240384,1447,17.2,31.4,22,9.4,70.1,4.7,10.5,130.5,128.7,,77.6,13.9,,1.7,34.8,6.8,18.74130737,4.554937413,60622,24,WEST TOWN,0.945,37,28,C,1126,399100,20.3581363,2.46,40.57507987,55.52003934,31314.43338,0.399361,32.54792,High-cost,0,Not_Rising,0,83.95232262,88.29616873,98.84940135,9.706130505,52.1764477,13.1,9,502.2827855,23.1
17031243100,4.5,0.694073679,0.191932,810,11.4,9.2,18.9,9.2,68.7,4.1,10.7,130.5,128.7,,82.5,4,,7.4,20.1,6.2,17.07436399,8.121330724,60622,24,WEST TOWN,0.864,9,8,D,1398,501000,14.18786693,2.61,48.18081588,73.25436409,16339.11791,0,30.54024,High-cost,0,Rising,0,84.17451262,88.58531176,99.41545338,9.946469307,52.1764477,13.1,9,502.2827855,23.1
17031243200,4.5,0.694073679,0.190813,752,11.7,19.3,7.9,9.2,68.3,5.3,10.6,130.5,128.7,,82.1,3.3,,3.1,29.8,11.5,18.90299184,1.858567543,60622,24,WEST TOWN,0.938,18,17,D,1554,591700,12.87398005,2.51,51.46067416,72.77227723,17642.48245,1.460674,20.78652,High-cost,0,Rising,0,84.11554303,88.41433732,99.24105331,10.02114042,52.1764477,13.1,9,502.2827855,23.1
